Energy,Raw_Data,Fit
1434.61,393.69,nan
1434.7099999999998,412.367,nan
1434.81,478.999,nan
1434.9099999999999,492.025,nan
1435.01,438.908,nan
1435.11,468.446,nan
1435.2099999999998,456.65,nan
1435.31,412.467,nan
1435.4099999999999,447.522,nan
1435.51,461.514,nan
1435.61,454.029,nan
1435.7099999999998,429.388,nan
1435.81,460.09,nan
1435.9099999999999,460.549,nan
1436.01,459.145,nan
1436.11,452.32,nan
1436.2099999999998,426.327,nan
1436.31,397.189,nan
1436.4099999999999,417.172,nan
1436.51,461.01,nan
1436.61,399.113,nan
1436.7099999999998,423.185,nan
1436.81,443.264,nan
1436.9099999999999,395.086,nan
1437.01,404.776,nan
1437.11,408.91,nan
1437.2099999999998,430.938,nan
1437.31,404.498,nan
1437.4099999999999,399.913,nan
1437.51,369.969,nan
1437.61,403.449,nan
1437.7099999999998,408.093,nan
1437.81,393.415,nan
1437.9099999999999,376.06,nan
1438.01,376.411,nan
1438.11,371.422,nan
1438.2099999999998,348.865,nan
1438.31,351.529,nan
1438.4099999999999,391.985,nan
1438.51,379.79,nan
1438.61,360.785,nan
1438.7099999999998,374.758,nan
1438.81,370.531,394.859442556921
1438.9099999999999,373.632,395.42597420748496
1439.01,391.2,395.9485672775723
1439.11,378.73,396.5586418458171
1439.2099999999998,390.026,397.15699194340476
1439.31,378.694,397.8438348599013
1439.4099999999999,387.397,398.53662065261545
1439.51,365.481,399.37069892272825
1439.61,398.834,400.11296020246203
1439.7099999999998,386.457,400.96421742379556
1439.81,374.693,401.9273374843188
1439.9099999999999,402.226,402.8394149468193
1440.01,438.968,403.6669803931931
1440.11,385.923,404.80308069520623
1440.2099999999998,399.508,405.9705667403776
1440.31,407.982,407.20080588114956
1440.4099999999999,420.95,408.4852807272127
1440.51,446.975,409.7801258132956
1440.61,430.322,411.28283190744355
1440.7099999999998,435.698,412.9155272254942
1440.81,461.245,414.61053572566243
1440.9099999999999,486.111,416.39262881140877
1441.01,470.472,418.461658053396
1441.11,475.041,420.7616235162564
1441.2099999999998,505.899,423.21556392758737
1441.31,511.155,425.97609305442927
1441.4099999999999,527.583,429.0466002454048
1441.51,582.115,432.3250356084192
1441.61,524.557,436.3681192393589
1441.7099999999998,506.999,441.0975167982681
1441.81,566.94,446.29492381023675
1441.9099999999999,490.107,452.6911586323844
1442.01,485.661,460.15807509883876
1442.11,520.231,468.76121908285415
1442.2099999999998,501.734,479.03207026817046
1442.31,489.967,491.34453122517516
1442.4099999999999,481.95,506.226396791071
1442.51,503.245,524.3029612168086
1442.61,522.086,546.6502792935687
1442.7099999999998,562.47,574.7360865845087
1442.81,579.834,611.031430944803
1442.9099999999999,603.711,659.2764726473918
1443.01,710.59,725.3821784278882
1443.11,804.355,820.2107594061018
1443.2099999999998,895.743,962.4046642553502
1443.31,1197.87,1180.9808271974734
1443.4099999999999,1503.48,1515.6088206565323
1443.51,2005.62,1998.0893516317765
1443.61,2663.69,2615.430930185862
1443.7099999999998,3273.52,3272.0299406001686
1443.81,3807.61,3801.2634060040027
1443.9099999999999,4028.88,4060.673784543856
1444.01,4038.57,4050.53790030838
1444.11,3968.43,3944.6140617513415
1444.2099999999998,3960.55,3979.8013591092235
1444.31,4337.46,4274.812448204969
1444.4099999999999,4766.97,4714.494361893067
1444.51,4948.61,4997.589428556827
1444.61,4805.0,4845.150311996533
1444.7099999999998,4169.03,4211.5287280751845
1444.81,3358.02,3301.5049454062687
1444.9099999999999,2531.35,2397.1511383406314
1445.01,1761.42,1679.871569553477
1445.11,1164.81,1186.9235944204863
1445.2099999999998,796.41,871.8414743811621
1445.31,550.96,672.8113459638255
1445.4099999999999,385.991,543.3087652674184
1445.51,304.887,454.9225708105203
1445.61,239.358,391.8058012616078
1445.7099999999998,225.165,344.8384235994727
1445.81,209.873,308.7966498831297
1445.9099999999999,179.375,280.5157592254844
1446.01,164.322,257.83906228312486
1446.11,147.994,239.364640357027
1446.2099999999998,131.518,224.11393924987058
1446.31,143.08,211.2659536985834
1446.4099999999999,117.612,200.46652417880335
1446.51,110.754,191.25242374381455
1446.61,116.999,183.27551232340926
1446.7099999999998,124.925,176.30285405241136
1446.81,113.691,170.23995227510915
1446.9099999999999,128.023,164.83680632847012
1447.01,132.512,160.02299878519455
1447.11,112.152,155.81418485316783
1447.2099999999998,114.216,152.03974640797455
1447.31,99.8972,148.70865870417805
1447.4099999999999,103.057,145.69493568770525
1447.51,90.4753,143.02350341479251
1447.61,106.551,140.53533529045447
1447.7099999999998,118.752,138.21630925522936
1447.81,104.551,136.15378688240935
1447.9099999999999,91.5989,134.32040203859833
1448.01,110.55,132.56000397623473
1448.11,109.691,130.94089324704305
1448.2099999999998,87.9198,129.53865578444686
1448.31,112.439,128.14202967295031
1448.4099999999999,103.376,nan
1448.51,109.554,nan
1448.61,104.627,nan
1448.7099999999998,88.015,nan
1448.81,73.875,nan
1448.9099999999999,86.546,nan
1449.01,93.897,nan
1449.11,102.269,nan
1449.2099999999998,83.5335,nan
1449.31,84.2751,nan
1449.4099999999999,86.3521,nan
1449.51,99.8905,nan
1449.61,113.399,nan
1449.7099999999998,95.2633,nan
1449.81,94.6468,nan
1449.9099999999999,123.23,nan
1450.01,116.19,nan
1450.11,114.703,nan
1450.2099999999998,93.5021,nan
1450.31,75.4783,nan
1450.4099999999999,103.248,nan
1450.51,87.3392,nan
1450.61,82.4155,nan
1450.7099999999998,86.3796,nan
1450.81,90.3224,nan
1450.9099999999999,96.2872,nan
1451.01,102.953,nan
1451.11,87.4878,nan
1451.2099999999998,86.1718,nan
1451.31,97.0511,nan
1451.4099999999999,104.245,nan
1451.51,94.3562,nan
1451.61,96.8117,nan
1451.7099999999998,91.6804,nan
1451.81,90.5762,nan
1451.9099999999999,89.4271,nan
1452.01,100.345,nan
1452.11,87.9337,nan
1452.2099999999998,83.8542,nan
1452.31,88.2141,nan
1452.4099999999999,100.42,nan
1452.51,91.216,nan
1452.61,81.1803,nan
